OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
394,48,201,400000,5886,2078,5886,5692,194,183,128,30,7,13,0,5,11,4134,3983,151,145,106,25,4,9,0,1,6,2078,1795,283,29445667.21,26732.97494
395,48,201,400000,4908,1769,4908,4530,378,368,303,50,2,6,1,6,10,3488,3163,325,321,260,47,2,6,1,5,4,1769,1520,249,33038889.29,26006.66082
396,48,201,400000,5242,1587,5242,4929,313,300,237,37,10,13,0,3,13,3615,3330,285,274,221,32,8,13,0,0,11,1587,1447,140,15761441.1,19293.40031
397,48,201,400000,1496,572,1496,1275,221,220,48,167,2,3,0,0,1,1026,841,185,184,40,139,2,3,0,0,1,572,470,102,28250035.48,22937.25872
398,48,201,400000,7611,2357,7611,6966,645,633,295,88,2,236,1,11,12,5327,4785,542,531,257,73,2,190,1,8,11,2357,2139,218,25026761.31,26899.84349
399,48,201,400000,4103,1499,4103,3797,306,291,83,190,1,12,0,5,15,2691,2430,261,251,75,162,1,10,0,3,10,1499,1220,279,5285881.507,9554.243118
400,48,201,400000,5593,1827,5593,4679,914,889,261,552,2,66,0,8,25,3794,3061,733,717,235,419,2,58,0,3,16,1827,1668,159,29566888.05,28670.99923
401,48,201,400000,4542,1353,4542,4270,272,268,201,39,8,11,0,9,4,3069,2838,231,228,180,29,3,9,0,7,3,1353,1230,123,26815576.51,26644.62605
402,48,201,400000,2448,770,2448,2198,250,239,153,52,1,31,0,2,11,1707,1495,212,202,133,41,1,27,0,0,10,770,697,73,22795989.06,24646.45179
403,48,201,400000,4089,1451,4089,399,3690,3599,1317,1665,12,590,6,9,91,3891,379,3512,3434,1277,1546,12,584,6,9,78,1451,1267,184,20151800.27,32008.07762
