City,Tract,Population,Male,Female,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,Less_than_18_years,18_to_64_years,65_years_and_over,Married_Couple,Male_Head,Female_Head,Non_Family,High_School_Graduate,Bachelor_Degree_or_Higher,Own,Rent,Median_Household_Income,Persons_Below_Poverty_Level_Income,Drove_Alone,Carpooled,Public_Transportation,Work_at_Home,Mean_Travel_Time_(minutes),No_Vehicle,1_Vehicle,2_Vehicles,3+_Vehicles,White,Black,Hispanic,American_Indian,Asian,Pacific_Islander,Other,More_than_one_race,English_Only,Other_than_English,Speak_English_less_than_very_well,Spanish_-_Speak_English_less_than_very_well,With_a_Disability,Under_18_w/Disability,18_to_64_w/Disability,65_and_over_w/Disability,Location_1
Boulder,30,2989,50.30%,49.70%,7.90%,5%,10.30%,7.50%,8.20%,5.90%,17.90%,12%,9.80%,8.60%,4.40%,2.30%,0.30%,27.50%,65.50%,7%,65.50%,5.60%,13.80%,15.10%,94.60%,30.40%,87.40%,12.60%,"$74,688.00 ",8.90%,83%,11.10%,0.90%,2.80%,25.8,0.80%,23.50%,47.50%,28.10%,74.80%,2.20%,14.80%,0%,7.10%,0%,0%,1.10%,86.10%,13.90%,5.80%,5%,4.80%,0.90%,3.60%,31.90%,"(36.236282000000003, -115.3054432)"
Boulder,30,3876,44.90%,55.10%,8.30%,7.40%,4.70%,4.40%,3%,17.80%,15.50%,7.90%,7.30%,10.10%,4.80%,5.40%,3.40%,22.90%,63.50%,13.60%,34.40%,2.30%,21%,42.30%,93.20%,25.30%,43.60%,56.40%,"$55,084.00 ",6.60%,90.60%,6.10%,1.30%,1.70%,23.8,4.10%,47.80%,37.80%,10.30%,65.70%,4.70%,23%,0%,2.50%,0%,0.20%,4%,81.80%,18.20%,5.80%,3.80%,13.80%,3.80%,7.80%,58.60%,"(36.222219000000003, -115.3063769)"
Boulder,30,574,57.10%,42.90%,0.90%,8.50%,11.20%,8.50%,5.50%,10.20%,14.30%,18.10%,9.90%,4.60%,7.20%,1.10%,0.10%,28.50%,63.20%,8.30%,70.30%,15.60%,7.10%,7.10%,96.10%,38.30%,93.30%,6.70%,"$130,890.00 ",4.10%,79.90%,15.40%,0%,4%,22,1.30%,28.10%,31.70%,38.90%,61.80%,8.80%,19.30%,0%,8.80%,0%,0%,1.40%,84.60%,15.40%,5.80%,2.50%,1.70%,1.20%,1.40%,6.10%,"(36.240948000000003, -115.2883085)"
Boulder,30,5157,51.60%,48.40%,4.50%,5.90%,7.20%,7.90%,4.60%,10%,16.30%,16.40%,10.60%,5.80%,7.30%,3.50%,0%,22.20%,67.10%,10.70%,65.40%,3.40%,5.20%,26%,94.60%,24.20%,76.50%,23.50%,"$77,639.00 ",3.60%,86.40%,8.80%,0%,1.10%,23,1.20%,25.20%,47.30%,26.20%,55.80%,7%,21.20%,0%,9.20%,0%,0.30%,6.50%,69.60%,30.40%,17.80%,11.20%,4.60%,0%,3.70%,20.40%,"(36.229933099999997, -115.2882796)"
Boulder,30,3837,50.10%,49.90%,5.30%,8.30%,5.90%,5.40%,6.10%,13.20%,15.30%,17.10%,7.90%,4.30%,7.40%,3.40%,0.40%,22.20%,66.60%,11.20%,48.80%,5.60%,9.90%,35.70%,93.10%,23.10%,75.10%,24.90%,"$62,870.00 ",3.20%,86.40%,9.80%,1.70%,1.50%,25.5,3.70%,28.90%,44.70%,22.60%,66.60%,6.10%,17.90%,0.90%,8.10%,0%,0%,0.40%,87.20%,12.80%,3.50%,0.80%,10.50%,5.20%,7.10%,40.50%,"(36.222373300000001, -115.2880779)"
Boulder,30,5311,47.80%,52.20%,3.80%,6.10%,10.50%,6.40%,9.30%,11.30%,16.80%,17.20%,6.40%,2.70%,6.30%,2.40%,0.80%,24.90%,65.70%,9.40%,43.40%,6.80%,16.80%,33%,92.20%,22.20%,77.70%,22.30%,"$74,155.00 ",5.60%,80.80%,15.20%,0%,4%,22.8,8.60%,14.30%,48%,29.20%,58.50%,6.50%,19%,1.80%,4.40%,1.50%,1.80%,6.40%,84.40%,15.60%,7.70%,6.80%,6.60%,0.60%,5.90%,27.50%,"(36.229686999999998, -115.2698455)"
Boulder,30,4065,47.50%,52.50%,2.80%,2.20%,6.80%,9.90%,5.90%,17%,14.70%,14.60%,4.60%,4.60%,8.70%,6.70%,1.60%,17.30%,65.70%,17%,49.90%,5.80%,9.80%,34.50%,90.20%,25.30%,59.60%,40.40%,"$62,917.00 ",4.30%,81%,15.90%,0.10%,1.90%,22.5,0.70%,48.50%,37.20%,13.50%,53.70%,7.30%,13.90%,0%,18.60%,3.30%,0%,3.10%,79.10%,20.90%,6.40%,3.40%,7.30%,5.40%,3%,26%,"(36.222190400000002, -115.2697026)"
Boulder,30,3872,46.50%,53.50%,4.20%,2.60%,4.30%,7.80%,7.10%,9.60%,4.80%,23.30%,7.20%,9.10%,14.90%,4.80%,0.20%,15.20%,64.80%,20%,46.90%,7%,13%,33%,96.20%,34.20%,73.30%,26.70%,"$63,137.00 ",4.40%,81.30%,5.10%,0%,9.20%,21.9,2.10%,34.90%,52.40%,10.50%,67.80%,7.60%,15.80%,0%,0.60%,0%,0.30%,7.90%,77.60%,22.40%,10%,6.10%,9.30%,0%,8%,20.40%,"(36.212352099999997, -115.2660111)"
Boulder,30,3343,48.50%,51.50%,7.90%,2.50%,5.80%,7.90%,3.90%,15.40%,11.30%,9.60%,8.50%,10.20%,10.30%,5.20%,1.70%,21%,61.90%,17.10%,54.10%,2.40%,16.70%,26.80%,94%,38%,71.50%,28.50%,"$54,511.00 ",13.70%,90.20%,6.40%,0%,2.60%,26.5,1.90%,33.60%,45.50%,19%,57.90%,15.40%,18.30%,0.60%,7.40%,0%,0%,0.30%,72.10%,27.90%,6.80%,3.80%,15.30%,8.60%,10.40%,40.70%,"(36.209726199999999, -115.273781)"
Boulder,30,3386,47.60%,52.40%,6.80%,5%,9%,7.60%,5%,10.20%,13%,18.50%,6.60%,4.70%,9%,2.60%,1.90%,25.90%,60.60%,13.50%,53.10%,2%,21.30%,23.70%,89.40%,78%,72.60%,27.40%,"$79,297.00 ",12.40%,91.10%,6.50%,0%,2.40%,22,4.80%,32.70%,46.20%,16.30%,61.30%,6.30%,18.50%,0%,13.90%,0%,0%,0%,76.10%,23.90%,8.40%,1.90%,8.70%,0%,8.70%,25.10%,"(36.188518899999998, -115.333485)"
Boulder,30,5081,45.90%,54.10%,6.40%,4.50%,12.30%,7.70%,5.50%,10.30%,19.90%,15.30%,5%,3.20%,7.10%,2.70%,0%,29.10%,61.10%,9.80%,57.10%,0.30%,16.70%,25.80%,93.10%,34.10%,60.90%,39.10%,"$61,676.00 ",19.60%,76.50%,16.70%,0.30%,4.50%,22.8,3.40%,33.30%,46.30%,17%,52.80%,4.80%,9.20%,0%,14.50%,16.90%,0%,1.90%,67%,33%,20.80%,0.50%,9.80%,8.70%,7.20%,29.50%,"(36.176592499999998, -115.3317395)"
Boulder,30,2378,53%,47%,4%,6.60%,11.40%,6.50%,2.50%,11.70%,17.60%,13.30%,3.60%,6.20%,10.40%,5%,1.20%,27.30%,56.10%,16.60%,75.30%,3%,4.60%,17%,98.60%,45.20%,79.30%,20.70%,"$106,618.00 ",7.30%,86.50%,7.50%,0%,5.70%,18.3,2.70%,21.20%,55.70%,20.40%,75.70%,2%,10.60%,6.70%,5%,0%,0%,0%,89%,11%,3.50%,0.60%,5.80%,0%,3.60%,22.90%,"(36.198948399999999, -115.3165632)"
Boulder,30,4518,45.80%,54.20%,5.20%,5.80%,3.70%,6.60%,8.10%,13.80%,14.90%,14.80%,8.40%,7.30%,5.90%,4.90%,0.60%,19.60%,69%,11.40%,49.60%,5.30%,12.70%,32.50%,94.60%,42.30%,65.20%,34.80%,"$77,308.00 ",6.20%,75.80%,7.40%,2.60%,5.90%,21.9,0.40%,42.80%,37.40%,19.40%,62.20%,9.40%,9.50%,0%,15.50%,0.50%,0%,3%,79.30%,20.70%,7.90%,2.60%,9.60%,2%,7.70%,34.60%,"(36.196807, -115.3066599)"
Boulder,30,3540,53.60%,46.40%,5%,7.50%,5.80%,9.70%,8.20%,10.70%,9.80%,15.70%,8.90%,5.20%,8.80%,4.80%,0%,23.60%,62.80%,13.60%,49.50%,6.50%,21.60%,22.40%,87.80%,18.90%,66.80%,33.20%,"$55,711.00 ",12.50%,76.20%,9.20%,4.10%,4.80%,19.5,1.10%,40.10%,47%,11.70%,53.90%,3.10%,22.90%,0.40%,7.70%,0%,0%,12%,72.90%,27.10%,8.20%,4.50%,8.10%,3.30%,6.60%,23.60%,"(36.170546100000003, -115.2770259)"
Boulder,30,3840,45%,55%,5%,3.90%,9.40%,5.50%,7.50%,12.90%,14.90%,16.70%,5%,4.80%,5.90%,6.50%,2.20%,22.90%,62.60%,14.50%,45.90%,5.40%,14%,34.70%,84.20%,22.10%,53.80%,46.20%,"$49,608.00 ",6.10%,86.10%,10.60%,0%,1.10%,22.4,8%,33.20%,46%,12.80%,58.50%,10.70%,18.40%,0%,8.50%,0%,0%,4%,77.60%,22.40%,15.60%,6.70%,12.30%,3.10%,8.30%,44.20%,"(36.174348799999997, -115.26792450000001)"
Boulder,30,3744,44.40%,55.60%,8.90%,6.60%,4.30%,5.40%,5.30%,16.10%,8.30%,14.40%,7.60%,4.90%,10.30%,6.60%,1.20%,22.90%,58.90%,18.20%,36.90%,3.30%,15.90%,43.90%,93.10%,19.80%,63.40%,36.60%,"$44,720.00 ",10.60%,80.90%,12.50%,1.20%,0%,24.3,3.70%,48.90%,38.70%,8.70%,58.60%,5.90%,19.60%,0%,6.20%,4.60%,0%,5.10%,80.60%,19.40%,10.70%,7.50%,8.60%,4.40%,4.70%,26.70%,"(36.162168800000003, -115.268508)"
Boulder,30,2819,46.30%,53.70%,3.50%,8%,7%,4.90%,2.50%,19.20%,18.30%,11.10%,8.80%,3.90%,4.40%,5.70%,2.80%,23.40%,63.80%,12.80%,49.50%,3.50%,15.40%,31.50%,86.70%,18.90%,52.30%,47.70%,"$56,964.00 ",9.10%,80.30%,13.50%,0.90%,5.20%,22.4,5.90%,36%,44%,14.10%,67.60%,0%,25%,1.20%,1.60%,0.50%,0.90%,3.30%,71.40%,28.60%,5.60%,2.80%,5.90%,0%,3.20%,29.80%,"(36.163219099999999, -115.2816885)"
Boulder,30,2913,48%,52%,0%,0%,0%,0%,0.20%,1.20%,0.70%,3%,3.20%,6.30%,44.40%,29.70%,11.40%,0%,14.50%,85.50%,48.80%,1.20%,2%,48%,97%,33.40%,91.20%,8.80%,"$51,830.00 ",5.90%,72%,16%,0%,9.20%,18.6,2%,59.70%,35.60%,2.70%,90.10%,1.50%,1.40%,0.20%,6.80%,0%,0%,0%,94.70%,5.30%,1.40%,0%,23.60%,0%,16.60%,24.80%,"(36.198823500000003, -115.3319491)"
Boulder,30,5200,51.70%,48.30%,4.80%,4.40%,9.90%,7.10%,6.40%,16.70%,18%,14.20%,6.10%,4.30%,5.20%,2.60%,0.10%,24.20%,67.80%,8%,43.90%,7.20%,12.60%,36.30%,91.90%,16.10%,49%,51%,"$62,763.00 ",12.50%,86.90%,7.40%,1.50%,0.90%,26,1.30%,38.90%,40%,19.70%,48.80%,14%,22.80%,0%,6.80%,3.60%,0%,4%,74.80%,25.20%,4.40%,3.70%,9.30%,0.40%,9.20%,36.90%,"(36.270938600000001, -115.25217840000001)"
Boulder,30,5749,53.20%,46.80%,2.10%,6.40%,6.30%,7.50%,3.90%,9.80%,15.10%,17.60%,6.20%,8.10%,10.40%,4.30%,2.40%,19.80%,63.20%,17%,53%,7.40%,8.30%,31.30%,91.70%,21.80%,72.40%,27.60%,"$57,838.00 ",11.70%,88%,4.50%,4.60%,2.30%,27.5,2.30%,35.30%,44.80%,17.70%,66.90%,10.10%,14.50%,0%,5.80%,0.20%,0%,2.50%,85.40%,3.80%,3.80%,2.30%,10.80%,2.70%,8.70%,28.10%,"(36.255657900000003, -115.2367576)"
Boulder,30,4230,45.70%,54.30%,0.90%,2.40%,3.80%,7.10%,3.90%,10.20%,4.10%,17.20%,7.30%,10.50%,18.50%,11.50%,2.60%,11%,56.40%,32.60%,45.10%,5.90%,9.10%,39.90%,94.60%,27.70%,79.70%,20.30%,"$64,779.00 ",10.50%,81%,9.60%,2.90%,1%,29.4,3%,38.10%,45%,14%,77.40%,9.30%,8.70%,0.20%,1.70%,0%,0%,2.70%,92.30%,7.70%,2.20%,0.80%,19.60%,10.90%,13.10%,33.70%,"(36.253866700000003, -115.2164492)"
Boulder,30,6442,48.80%,51.20%,3.70%,9.40%,8.50%,10.20%,2.60%,10%,19%,13.30%,6.10%,5.60%,7.80%,1.40%,2.30%,28.40%,60.10%,11.50%,64%,7.90%,15.10%,13%,94.10%,20.50%,73.20%,26.80%,"$80,225.00 ",4.10%,89.30%,5.90%,0.50%,1.80%,26.2,0.40%,24%,56.90%,18.60%,53.20%,13.10%,20.10%,0%,6.90%,0%,0%,6.70%,84.60%,15.40%,5.20%,3.20%,12.50%,8.10%,8.70%,43.30%,"(36.268650999999998, -115.216109)"
Boulder,30,2935,49.20%,50.80%,1.30%,5.40%,7.70%,7.50%,7.80%,7.90%,18.50%,18.70%,8.20%,5.70%,7%,3.30%,1%,19.60%,69.10%,11.30%,62%,7%,6.50%,24.50%,89.60%,17.60%,89%,11%,"$71,949.00 ",6.80%,83.50%,13.90%,1%,1.50%,27.9,0%,25.80%,30%,44.30%,54.20%,14%,18.40%,0%,7.80%,4.10%,0%,1.50%,72.70%,27.30%,5.30%,4.60%,17.90%,3.50%,17.90%,42.90%,"(36.269107099999999, -115.23362419999999)"
Boulder,30,4230,50.50%,49.50%,8.30%,7.30%,7.10%,6.30%,2.30%,14.10%,16.10%,13%,8.20%,7.80%,6.50%,2.90%,0.10%,28.30%,62.10%,9.60%,59.90%,7.80%,14%,18.30%,96.90%,26.90%,75.80%,24.20%,"$88,165.00 ",1.90%,86.10%,8.50%,0.60%,4%,28.1,0.40%,18.20%,61.30%,20.10%,83.10%,2.40%,8.70%,0%,4.60%,0%,0%,1.20%,94.50%,5.50%,0.80%,0.30%,5.30%,1.20%,5.10%,19.40%,"(36.285321500000002, -115.215515)"
Boulder,30,2277,52.20%,47.80%,6.50%,7.40%,6.30%,6.30%,7%,15.80%,9.20%,15.90%,9.20%,9.30%,4.60%,1.70%,0.80%,24.90%,68%,7.10%,74.40%,8.40%,5.10%,12.10%,98.30%,36.70%,79.60%,20.70%,"$98,750.00 ",4.90%,83.40%,9.80%,0.70%,5.40%,27.3,2.30%,23.30%,48.80%,25.50%,70.20%,5.40%,14.80%,0.70%,5.70%,0%,0%,3.20%,90.10%,9.90%,3.50%,1%,8.40%,5.30%,6%,40.60%,"(36.295302200000002, -115.2370683)"
Boulder,30,3439,47.90%,52.10%,9.20%,7.70%,8.80%,10.10%,4.30%,16%,11.20%,14.20%,5.40%,3.70%,7.90%,1.50%,0%,30.50%,60.10%,9.40%,67.10%,0%,14.40%,18.50%,93.50%,25.30%,89.30%,10.70%,"$66,250.00 ",15.90%,89.30%,2.90%,4.80%,2.40%,35.4,0.50%,24.70%,50.40%,24.40%,51.10%,17.90%,23.70%,0.90%,2.10%,0%,0%,4.30%,95.80%,4.20%,0.30%,0%,11.30%,1.50%,11.40%,41.80%,"(36.298206399999998, -115.2154981)"
Boulder,30,3744,49.80%,50.20%,5%,12.20%,10.90%,8.90%,4.60%,5.60%,20.70%,16.60%,4.80%,2.80%,4.60%,3.10%,0%,33.70%,58.60%,7.70%,81.70%,3.40%,3.30%,11.70%,93.20%,40.60%,94.20%,5.80%,"$106,710.00 ",3.10%,85.40%,6.60%,0%,5%,26.9,0%,15.50%,48.40%,36.20%,63.20%,6.10%,19.20%,0.40%,6.60%,0.50%,0%,4%,87.60%,12.40%,1.20%,0.80%,6.50%,8%,2%,32.50%,"(36.310797600000001, -115.2229969)"
Boulder,30,3215,54.70%,45.30%,9.50%,10.70%,9%,3.40%,3.10%,19.40%,18.20%,10.40%,5.60%,3.50%,2.10%,4.90%,0.10%,31.60%,61.20%,7.20%,62%,3.70%,15.50%,18.80%,94.50%,15.70%,70.40%,29.60%,"$73,214.00 ",6.50%,79.60%,11.40%,0.40%,1.80%,32.5,0%,31%,42%,27%,59.40%,16.40%,13%,0%,9.40%,1.10%,0%,0.60%,88.20%,11.80%,0.50%,0.50%,8.20%,0.40%,9.90%,28.20%,"(36.3095389, -115.21145370000001)"
Boulder,30,7368,45.50%,54.50%,7.50%,12%,9.90%,4.40%,3.50%,11.10%,18.10%,11.50%,8.40%,5.20%,6.70%,1.30%,0.40%,33.10%,58.60%,8.30%,72.80%,3.90%,7.20%,16%,91.10%,23.10%,77.70%,22.30%,"$78,930.00 ",4.30%,85.10%,9%,0.80%,4.40%,29.4,0.70%,27.70%,51.90%,19.60%,58.60%,5.20%,28.90%,0.30%,6.20%,0%,0%,0.80%,84.10%,15.90%,4.70%,4.10%,5.80%,1.70%,6%,20.50%,"(36.327058000000001, -115.2621977)"
Boulder,30,5603,48.50%,51.50%,8.10%,11.80%,6.80%,11.80%,6%,12%,17.70%,13.30%,2.60%,2.90%,5.20%,0.90%,0.80%,34.90%,58.20%,6.90%,59.30%,9.80%,9.10%,21.90%,94.20%,25.20%,75%,25%,"$73,910.00 ",8.20%,91.30%,7.30%,0.60%,0.80%,29,3.40%,21.20%,57.70%,17.80%,62.90%,5.40%,18.30%,4.60%,7.60%,0%,0%,1.10%,84.90%,15.10%,4%,1.70%,7.80%,0%,9.90%,28.40%,"(36.311193500000002, -115.2877331)"
Boulder,30,5603,48.10%,51.90%,7.20%,7%,11.80%,9.20%,7.80%,9.50%,18.30%,13.30%,3.90%,3.90%,6.30%,1.80%,0%,31.90%,59.90%,8.20%,65.50%,6.10%,13.80%,14.70%,97.10%,30.80%,87.90%,12.10%,"$98,352.00 ",8.80%,78.70%,14.70%,0.50%,3.70%,27.4,0%,8.10%,67.10%,24.70%,64.80%,8.30%,17.80%,0.40%,5.90%,1.10%,0%,1.60%,90.20%,9.80%,1.40%,0.50%,3.50%,0.60%,3.60%,14.20%,"(36.326145799999999, -115.29487349999999)"
Boulder,30,3275,46.40%,53.60%,13.10%,5.80%,5.60%,8.20%,8.80%,18.10%,13.70%,18.20%,4%,0%,3.20%,1.10%,0%,27.60%,68%,4.40%,55.50%,12.90%,3.70%,28%,98.50%,20.50%,75.50%,24.50%,"$69,733.00 ",4.60%,81.50%,15.20%,0%,0%,25.6,0%,32.20%,46.90%,20.90%,67.80%,5.70%,21%,0%,1.50%,0%,1%,2.90%,90.80%,9.20%,1.50%,0%,5.10%,0.60%,4.60%,42.60%,"(36.304909100000003, -115.2857195)"
Boulder,30,5961,47.70%,52.30%,8.90%,6.60%,9.70%,7.30%,9.10%,12.70%,15.20%,16.30%,3.30%,2.40%,7%,1.50%,0%,29.20%,62.30%,8.50%,47.50%,6.70%,21.70%,24.10%,92.70%,27.70%,69.50%,30.50%,"$68,633.00 ",11.50%,82.90%,7.20%,1%,4%,25.2,0.80%,39%,47.60%,12.50%,68.40%,14.30%,10.40%,0%,4.80%,0%,0%,2.20%,89.80%,10.20%,2.20%,1.30%,5.60%,0.20%,5.80%,22.60%,"(36.300058900000003, -115.2755329)"
Boulder,30,5971,54.80%,45.20%,4.10%,9.70%,6.10%,15.90%,4.20%,12.20%,19.50%,13.10%,2.50%,5.80%,5.40%,1.20%,0.40%,29.70%,63.30%,7%,66.70%,6%,13.20%,14.20%,84.70%,19.90%,74.40%,25.60%,"$69,693.00 ",7.10%,84%,8.30%,0%,3.80%,27.5,0.90%,21.30%,51.10%,26.70%,42.10%,16%,28.80%,0.60%,7%,0%,0%,5.40%,67.50%,32.50%,5.70%,3.30%,6.80%,3.70%,5.60%,30.60%,"(36.300187999999999, -115.2646228)"
Boulder,30,4200,48.50%,51.50%,5.10%,5.50%,6.40%,11.30%,4.40%,14.20%,16.50%,16.40%,5.70%,4.40%,8.20%,1.90%,0%,23.20%,66.80%,10%,57.40%,5.50%,15.50%,21.60%,96.90%,23.10%,59.30%,40.70%,"$72,419.00 ",3.70%,85.50%,6.90%,0.40%,5.60%,27.6,1.90%,22.70%,52.40%,23%,67%,6.10%,21.70%,0%,3.20%,0%,0%,2.10%,81.30%,18.70%,5.10%,3.80%,8%,2.80%,5.50%,36.70%,"(36.284447700000001, -115.2579626)"
Boulder,30,2323,48.80%,51.20%,3.80%,6.60%,5.80%,2.30%,2.20%,7%,14.60%,19.80%,8.60%,12.60%,13.60%,2.80%,0.30%,18.20%,65.10%,16.70%,73.10%,1.20%,2.10%,23.50%,96.40%,53.50%,97.70%,2.30%,"$132,892.00 ",5.20%,88.40%,1%,0%,10.60%,28.7,1%,12.80%,63.80%,22.50%,69%,6.20%,9%,0%,4.40%,0%,2%,9.40%,87.30%,12.70%,3.20%,1.50%,11%,1.10%,9.50%,27.60%,"(36.297912599999997, -115.25109740000001)"
Boulder,30,4950,50.70%,49.30%,7.30%,5.70%,7.30%,6.60%,8.30%,14.20%,14.10%,15.10%,5.70%,6.10%,5.70%,2.80%,1%,25.30%,65.20%,9.50%,46.80%,8.60%,18.10%,26.50%,91.60%,26.20%,58.90%,41.10%,"$62,990.00 ",12.40%,76.20%,18.70%,0%,3.20%,24.6,3.10%,35.50%,39.50%,21.80%,54.70%,11.30%,19.50%,0.60%,8.40%,0%,0.10%,5.30%,77.30%,22.70%,6.90%,3.60%,7.40%,1.60%,7.20%,24.80%,"(36.240453000000002, -115.2535888)"
Boulder,30,5684,47.70%,52.30%,5.40%,9.20%,7.70%,7.50%,5.50%,15.50%,14.20%,13.70%,7.30%,6%,4.90%,2.30%,0.90%,25.70%,66.30%,8%,31.60%,8.60%,22.20%,37.60%,89.90%,12.50%,49.40%,50.60%,"$48,317.00 ",24.80%,83.90%,8.90%,2.40%,2.70%,25.8,4.40%,44.70%,36.50%,14.40%,51.70%,14.60%,28.20%,0%,4.40%,0%,0%,1.10%,72%,28%,8.40%,6.70%,14.80%,2.20%,14.80%,55%,"(36.239635399999997, -115.2407697)"
Boulder,30,5508,44.70%,55.30%,4.30%,4%,7.30%,5%,5.80%,5.20%,16.50%,15.20%,6.80%,11.10%,11.40%,7.20%,0.20%,20.10%,61.10%,18.80%,55.50%,5.80%,8.60%,30.10%,91.30%,20.80%,77.90%,22.10%,"$59,299.00 ",11.70%,90.80%,6.70%,0%,0.60%,24.7,0%,33.10%,44.50%,22.40%,65.30%,10.90%,15.80%,0.10%,4.50%,0.30%,0%,3.10%,84.60%,15.40%,4.10%,2.10%,12.50%,6.70%,10.60%,24.60%,"(36.243023999999998, -115.22184129999999)"
Boulder,30,4048,44.40%,55.60%,7.30%,6.70%,5.90%,5.90%,8.60%,17.90%,10%,15.20%,5.80%,4.70%,5.20%,3.20%,3.60%,23.40%,64.60%,12%,38%,6.10%,7.90%,48%,93.40%,21.50%,29.10%,70.90%,"$40,634.00 ",17.20%,78.10%,11.50%,1.30%,1.60%,24.4,13.30%,48.10%,31%,7.60%,55%,10.40%,22.20%,0.60%,8.80%,0%,0%,2.90%,75.10%,24.90%,8.30%,5.50%,12.30%,1.90%,7.80%,59.40%,"(36.2256681, -115.25366630000001)"
Boulder,30,4303,55.10%,44.90%,2.60%,5.20%,7.90%,6%,7.60%,12.50%,11.60%,16.50%,10.80%,6.10%,7.90%,4.70%,0.80%,18.90%,67.70%,13.40%,42.50%,5.30%,14%,38.10%,89%,14.60%,63.60%,36.40%,"$51,100.00 ",16.50%,85.90%,7.70%,2.60%,3.40%,26.7,2.20%,40.60%,38.50%,18.70%,52%,14.70%,22.50%,0.70%,6.80%,0%,0%,3.40%,75.30%,24.70%,8.20%,6.80%,15.50%,9.90%,11.30%,44.60%,"(36.2254206, -115.24036150000001)"
Boulder,30,4713,59.40%,40.60%,4.90%,7.30%,9.70%,8%,10.40%,8.40%,17.60%,13.60%,5.80%,7.10%,3.90%,2.70%,0.60%,27.70%,65.10%,7.20%,51%,7.10%,9.90%,32%,86.40%,13%,57.10%,42.90%,"$43,125.00 ",10.60%,78.80%,10.90%,3.10%,3.10%,23,13.20%,34.40%,29.60%,22.80%,41.50%,17%,32.70%,0.30%,3%,1.60%,0.30%,3.50%,69.40%,30.60%,10.50%,9.10%,11.80%,3.70%,12.20%,40.30%,"(36.224972700000002, -115.2265618)"
Boulder,30,2399,50%,50%,1.70%,1.70%,5.30%,7.50%,10.80%,8.10%,8.90%,18.30%,7.70%,9%,10.60%,4.60%,5.90%,14.50%,64.40%,21.10%,61.80%,4.50%,4.50%,29.10%,84.40%,19.50%,89.80%,10.20%,"$71,902.00 ",6.50%,82.40%,7.20%,0.70%,7.20%,24.4,1.60%,18.70%,41.60%,38%,74.30%,5.80%,12.70%,1.90%,2%,0.10%,0%,3.10%,86.10%,13.90%,4.80%,3.80%,18.90%,4.50%,18.30%,37.90%,"(36.230565300000002, -115.2160337)"
Boulder,30,7093,51.80%,48.20%,10.80%,5.60%,7%,9.50%,9.90%,16.10%,13.90%,9.50%,6.10%,5%,2.90%,3.10%,0.70%,29.30%,64.10%,6.60%,36.10%,8.30%,20.70%,34.90%,85.20%,12.70%,44%,56%,"$45,000.00 ",25.50%,73.50%,14%,4.30%,2.20%,27.3,7.10%,45.20%,36.60%,11%,35.20%,15.70%,36.30%,1.90%,5.20%,0.70%,0%,5.10%,65.10%,34.90%,15.10%,12.30%,11.20%,5.50%,11.40%,34%,"(36.209505900000003, -115.2456103)"
Boulder,30,2704,47.60%,52.40%,3.30%,5.20%,5.30%,8%,4.30%,18.40%,10.50%,14%,5%,4.90%,10%,7.80%,3.30%,18.50%,60.50%,21%,49.70%,9.70%,19%,21.50%,79.80%,19.70%,64.10%,35.90%,"$68,542.00 ",4.50%,81.60%,15.20%,0%,1.90%,24.4,9.10%,24%,42.90%,24.10%,54.30%,4.80%,29.70%,0.20%,7.10%,0%,0%,4%,71.80%,28.20%,13.90%,8.10%,19%,11%,10.60%,61.10%,"(36.213914099999997, -115.233881)"
Boulder,30,4155,51.70%,48.30%,6.90%,8.20%,7.70%,10.60%,9.80%,19.90%,18.50%,9.50%,1.40%,1.80%,4.40%,1.20%,0%,29.70%,64.60%,5.70%,25.40%,10.90%,24%,39.70%,80.30%,12.40%,12.20%,87.80%,"$39,368.00 ",31%,61.80%,19.20%,8.80%,2.30%,25.6,19.50%,59.50%,15.50%,5.50%,34.20%,20.70%,37%,0.50%,4.70%,0.60%,0%,2.30%,66.50%,33.50%,15.70%,13.80%,12.30%,3.90%,14.60%,29.80%,"(36.199777599999997, -115.2524662)"
Boulder,30,6928,56%,44%,11%,7.30%,7.30%,7.80%,2.30%,20.10%,12.30%,14.60%,7.60%,3.70%,2.80%,2.80%,0.40%,30.80%,63.10%,6.10%,22.70%,7.10%,20.60%,49.60%,74.10%,9.70%,34%,66%,"$37,196.00 ",27.10%,67.40%,12.60%,13.80%,0%,30.6,14.30%,51.70%,26.90%,7.10%,32.50%,16.50%,39.40%,1.30%,4.20%,0%,0%,6.10%,67%,33%,15.50%,12.80%,17.70%,1.30%,24.10%,35.10%,"(36.199561799999998, -115.2341282)"
Boulder,30,3642,51.70%,48.30%,10%,14.30%,7.10%,4.20%,5.70%,13.70%,13.60%,10.10%,7.30%,4.90%,4.60%,2.80%,1.60%,33.90%,57.10%,9%,46.40%,10.20%,16.80%,26.60%,71.60%,13.80%,44.60%,55.40%,"$31,467.00 ",30%,76.70%,11%,5.30%,0.70%,22.1,12%,40.70%,31.70%,15.70%,38.10%,7.30%,50.80%,0%,2.10%,0%,0%,1.60%,55.30%,44.70%,26.50%,25.90%,14.80%,6.20%,13.50%,55.30%,"(36.199260199999998, -115.21484959999999)"
