City,Tract,Population,Male,Female,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,Less_than_18_years,18_to_64_years,65_years_and_over,Married_Couple,Male_Head,Female_Head,Non_Family,High_School_Graduate,Bachelor_Degree_or_Higher,Own,Rent,Median_Household_Income,Persons_Below_Poverty_Level_Income,Drove_Alone,Carpooled,Public_Transportation,Work_at_Home,Mean_Travel_Time_(minutes),No_Vehicle,1_Vehicle,2_Vehicles,3+_Vehicles,White,Black,Hispanic,American_Indian,Asian,Pacific_Islander,Other,More_than_one_race,English_Only,Other_than_English,Speak_English_less_than_very_well,Spanish_-_Speak_English_less_than_very_well,With_a_Disability,Under_18_w/Disability,18_to_64_w/Disability,65_and_over_w/Disability,Location_1
Henderson,30,3448,49.90%,50.10%,5.90%,6.40%,8.10%,9.80%,3.70%,12%,13.10%,13.70%,5.10%,8.80%,8.20%,3.90%,1.40%,25%,61.50%,13.50%,45.50%,4.70%,26.10%,23.70%,78.50%,9.80%,81.70%,18.30%,"$62,750.00 ",5.70%,88.30%,7.60%,0.70%,1.10%,22.7,2.80%,21.70%,51.80%,23.60%,59.20%,5.80%,28.70%,0.20%,3.50%,0.60%,0%,1.90%,70%,30%,8.90%,4.40%,10.80%,1.50%,9.10%,35.80%,"(36.170202000000003, -115.2510508)"
Henderson,30,3406,51.70%,48.30%,7.60%,6.70%,8.10%,4.20%,10.60%,9%,14.50%,16.50%,8.80%,2.20%,7.70%,2.80%,1.40%,24.30%,63.80%,11.90%,58.30%,3.30%,16.80%,21.60%,78.60%,13.30%,79.50%,20.50%,"$56,694.00 ",12%,75.90%,12.80%,0%,4%,20.3,3.30%,42.30%,39.20%,15.20%,54.10%,3.70%,33.60%,1%,4.10%,1.10%,0%,2.50%,65.40%,34.60%,14.20%,12.70%,12%,2%,8.80%,49.80%,"(36.162689499999999, -115.25141499999999)"
Henderson,30,5556,51.10%,48.90%,6.80%,7.70%,9.60%,5%,8.10%,17.80%,16%,13%,3.80%,3.40%,5.80%,2.30%,0.70%,28.10%,63.10%,8.80%,40%,13.30%,16.60%,30.10%,71.80%,11.90%,50.60%,49.40%,"$45,829.00 ",26.30%,69.40%,20.10%,5.50%,1.80%,24.1,5.60%,42.80%,38.80%,12.80%,33.30%,9.30%,48.20%,0.10%,6.50%,0%,0%,2.50%,57.60%,42.40%,19.70%,17.40%,12.30%,6.80%,10.30%,43.90%,"(36.177532100000001, -115.2340148)"
Henderson,30,3569,52.60%,47.40%,6.40%,4.90%,7.90%,3.50%,6.60%,17.80%,12.90%,13.20%,7.10%,5.10%,9.30%,3.40%,1.70%,21.70%,63.80%,14.50%,46.30%,5.90%,19.60%,28.20%,74.80%,8.70%,58.20%,41.80%,"$46,484.00 ",12.30%,76.40%,18.30%,3.10%,0.30%,21.5,6.80%,39.60%,37.30%,16.30%,44.20%,12.50%,40.30%,0%,2.20%,0.50%,0%,0.30%,66.70%,33.30%,19.60%,16.70%,11.90%,9.80%,9.20%,36.70%,"(36.184688199999997, -115.2289059)"
Boulder,30,4241,51.40%,48.60%,6.90%,5.70%,5.40%,7%,4.70%,19.40%,13%,14.10%,4.10%,5.80%,7.20%,5.10%,1.70%,21.80%,64.30%,13.90%,26.70%,13.80%,13.30%,46.10%,67.80%,7.80%,20.80%,79.20%,"$31,607.00 ",28.60%,67.70%,15.20%,11.20%,0%,27.8,14.30%,60.90%,21.90%,2.90%,36.50%,15.10%,39.10%,1%,1.90%,0%,0%,6.30%,65.70%,34.30%,14.60%,13%,20.90%,8.90%,21.50%,37%,"(36.184877, -115.23921199999999)"
Boulder,30,4983,48%,52%,2.60%,7.50%,4.30%,5.50%,4.20%,4.40%,10.10%,16.90%,11%,12.30%,12.20%,6.60%,2.50%,18%,60.70%,21.30%,56.40%,5.60%,9.60%,28.30%,91.40%,27.10%,83.40%,16.60%,"$76,811.00 ",3.80%,92.90%,1.70%,0%,4%,24.9,2.60%,29%,50.50%,17.90%,70.20%,8.80%,12.80%,0%,5.50%,0.80%,0%,2%,83.70%,16.30%,5.90%,3.10%,14.70%,0%,12.60%,33.10%,"(36.254916199999997, -115.2626447)"
Boulder,30,1300,50.10%,49.90%,4.50%,5.80%,10.70%,7.40%,3.90%,6.20%,15.50%,18.60%,7.10%,5.90%,8.40%,4.50%,1.50%,27.30%,58.20%,14.50%,76.20%,0.40%,1.70%,21.70%,96.20%,44.50%,93.30%,6.70%,"$107,201.00 ",2.40%,85.50%,9.60%,0%,2.50%,25.2,1.80%,12.60%,45.50%,40%,66.30%,4.10%,11.10%,0.10%,7.30%,0.10%,0.60%,10.30%,86%,14%,4.80%,3.10%,8.90%,1.10%,7.10%,31.40%,"(36.240773900000001, -115.26978099999999)"
Boulder,30,2559,46.40%,53.60%,0%,0%,0%,0.40%,0%,0%,0%,5.90%,5%,8.50%,39.10%,34.10%,7%,0%,19.80%,80.20%,57.80%,0%,5.30%,36.90%,95.80%,35.10%,85.40%,14.60%,"$60,392.00 ",7.30%,87.20%,0%,0%,8.70%,18.6,3.30%,59.80%,35%,2%,88.90%,2.40%,2.10%,0.50%,6.10%,0%,0%,0%,89.40%,10.60%,0.30%,0%,29.70%,0%,20.10%,32.10%,"(36.210395300000002, -115.32853230000001)"
Boulder,30,3236,41.60%,58.40%,0%,0%,0.40%,0%,0%,0%,0.60%,5.70%,6.10%,8.70%,23.90%,36.70%,17.90%,0.40%,21.10%,78.50%,48.20%,2.40%,6.90%,42.50%,90.80%,24.30%,84.50%,15.50%,"$43,155.00 ",3.50%,87.70%,2.20%,0%,10.10%,19.2,1.70%,67.80%,27.90%,2.70%,90.20%,1.80%,4.10%,1.20%,2.10%,0%,0.30%,0.30%,89.90%,10.10%,1.90%,0%,28.70%,0%,23.60%,30.20%,"(36.215220799999997, -115.2968175)"
Boulder,30,2041,43.50%,56.50%,0%,0%,0%,0%,0%,0%,1.80%,7.90%,5.20%,9.40%,33.70%,29.90%,12%,0%,24.40%,75.60%,42.50%,1.50%,5.70%,50.30%,92.90%,29.70%,81.50%,18.50%,"$49,152.00 ",4.80%,84.80%,6.30%,0%,4.30%,28,3.70%,61.40%,33.50%,1.40%,84.30%,3.10%,0.90%,0.40%,9.70%,0%,0%,1.60%,88.40%,11.60%,4.10%,0%,34.80%,0%,35.10%,34.70%,"(36.2092685, -115.31117450000001)"
