OBJECTID,City,GEOID10,SUMLEV,STATE,COUNTY,TRACT,BLKGRP,BLOCK,LOGRECNO,PopulationTotal,TotalMale,TotalFemale,AgeMedian,AgeMedianMale,AgeMedianFemale,RaceWhite,RaceAfricanAmerican,RaceNativeAmerican,RaceAsian,RacePacificIslander,RaceOther,RaceMixed,EthnicityHispanic,HouseholdCount,HouseholdAverageSize,FamilyCount,FamilyAverageSize,HousingCount,HousingOccupied,HousingVacant
159,Everett,5.31E+14,750,53,68,70000,0,0,142947,3608,1796,1812,34.6,33.6,35.6,3108,51,86,61,17,103,182,304,1525,2.31,863,2.95,1642,1525,117
160,Everett,5.31E+14,750,53,68,70000,0,0,142953,4124,2017,2107,39.4,39.3,39.5,3492,48,85,98,17,213,171,433,1669,2.47,1113,2.94,1773,1669,104
161,Everett,5.31E+14,750,53,68,70000,0,0,142959,7030,3513,3517,43.7,44,43.5,6375,62,64,180,21,78,250,276,2696,2.6,2015,2.95,2835,2696,139
162,Everett,5.31E+14,750,53,68,90000,0,0,142966,2760,1311,1449,45.6,46.2,45,2278,54,31,211,12,28,146,111,1096,2.52,797,2.93,1194,1096,98
163,Everett,5.31E+14,750,53,68,90000,0,0,142972,3945,2040,1905,38.2,37.8,38.6,2738,225,125,367,108,157,225,381,1502,2.56,975,3.14,1595,1502,93
164,Everett,5.31E+14,750,53,68,90000,0,0,142980,6790,3395,3395,30.2,30.6,29.8,3579,584,156,1175,157,587,552,1296,2635,2.58,1660,3.15,2821,2635,186
165,Everett,5.31E+14,750,53,68,90000,0,0,142988,6504,3261,3243,44.9,44.5,45.3,5581,168,168,191,9,103,284,340,2568,2.52,1799,2.92,2699,2568,131
166,Everett,5.31E+14,750,53,68,90000,0,0,143002,5839,2914,2925,33.7,32.5,34.8,3788,479,139,619,81,269,464,624,1938,3.01,1493,3.37,2020,1938,82
167,Everett,5.31E+14,750,53,68,90000,0,0,143010,2447,1065,1382,19.9,15.3,25.7,825,564,51,513,55,75,364,266,747,3.28,630,3.57,788,747,41
168,Everett,5.31E+14,750,53,68,90000,0,0,143016,3150,1585,1565,30.1,30.6,29.6,1389,360,385,305,76,304,331,650,989,3.19,702,3.64,1103,989,114
169,Everett,5.31E+14,750,53,68,90000,0,0,143024,5902,2838,3064,37.4,37.1,37.7,4051,450,55,798,55,140,353,393,2246,2.63,1580,3.13,2347,2246,101
170,Everett,5.31E+14,750,53,68,90000,0,0,143032,2845,1409,1436,43.3,43.3,43.3,2455,79,38,79,18,69,107,186,1110,2.55,796,2.9,1176,1110,66
171,Everett,5.31E+14,750,53,68,90000,0,0,143038,3985,2001,1984,40.2,38.1,43.1,3351,77,104,97,24,134,198,296,1908,2.09,944,2.79,2051,1908,143
172,Everett,5.31E+14,750,53,68,90000,0,0,143045,4106,2037,2069,46.7,46.7,46.7,3172,185,21,479,15,37,197,176,1573,2.6,1240,2.91,1646,1573,73
