UNIQUEID,CENSUSYEAR,TRACT,BLOCKGROUP,FIPSID,TOTALPOPULATION,POPULATIONWHITE,POPULATIONBLACK,POPULATIONASIAN,POPULATIONOTHER,POPULATIONAMERICANINDIAN,POPULATIONPACIFICISLANDER,POPULATIONONERACE,POPULATIONMULTIRACE,POPULATION25OLDER,MEDIANAGE,MEDIANHOUSEHOLDINCOME,HIGHSCHOOLMALE,HIGHSCHOOLMOREMALE,COLLEGE1YRLESSMALE,COLLEGE1YRMOREMALE,ASSOCIATESDEGREEMALE,BACHELORSDEGREEMALE,MASTERSDEGREE MALE,PROFESSIONALDEGREEMALE,DOCTORALDEGREEMALE,HIGHSCHOOLFEMALE,HIGHSCHOOLMOREFEMALE,COLLEGE1YRLESSFEMALE,COLLEGE1YRMOREFEMALE,ASSOCIATESDEGREEFEMALE,BACHELORSDEGREEFEMALE,MASTERSDEGREEFEMALE,PROFESSIONALDEGREEFEMALE,DOCTORALDEGREEFEMALE,PERCENT25YROVERHIGH SCHOOLMORE,HOUSINGUNITS,OCCUPIEDHOUSINGUNITS,OWNEROCCUPIEDHOUSING,RENTEROCCUPIEDHOUSING,PERCENTOWNEROCCUPIED,PERCENTRENTEROCCUPIED,MEDIANHOUSEVALUEOWNEROCCUPIED,MEDIANYEARBUILT,VACANCYRATES
2.01E+15,2010,10,1,2.20E+11,1517,141,1262,28,61,1,4,1497,20,874,28.7,23984,241,139,30,36,34,27,0,6,6,181,134,29,79,19,0,7,0,0,30.99%,612,539,523,1014,34.03%,65.97%,"$97,900.00 ",1970,11.93%
2.01E+15,2010,10,2,2.20E+11,916,47,860,6,1,2,0,916,0,529,32.1,47750,113,98,11,46,0,34,0,0,7,120,207,17,47,72,64,7,0,0,46.27%,345,317,683,251,73.13%,26.87%,"$87,000.00 ",1961,8.12%
2.01E+15,2010,10,1,2.20E+11,1452,79,1289,50,6,1,0,1425,27,884,30.9,27500,111,207,34,140,15,18,0,0,0,126,196,0,115,5,71,5,0,0,58.91%,492,472,564,511,52.47%,47.53%,"$83,200.00 ",1966,4.07%
2.01E+15,2010,10,2,2.20E+11,1336,27,1301,0,0,0,0,1328,8,791,30.4,28200,82,215,0,125,19,34,37,0,0,155,310,9,191,0,47,63,0,0,64.57%,732,650,559,756,42.51%,57.49%,"$98,600.00 ",1967,11.20%
2.01E+15,2010,10,3,2.20E+11,806,37,762,1,2,1,0,803,3,456,31.1,26172,126,23,0,18,0,5,0,0,0,52,156,0,54,36,59,7,0,0,28.91%,309,270,326,570,36.38%,63.62%,"$47,100.00 ",1959,12.62%
2.01E+15,2010,10,1,2.20E+11,791,3,781,1,3,0,0,788,3,525,41.2,33269,42,43,0,29,0,14,0,0,0,85,137,19,16,51,46,5,0,0,40.11%,303,246,328,285,53.51%,46.49%,"$85,700.00 ",1959,18.81%
2.01E+15,2010,10,2,2.20E+11,656,1,647,0,2,0,0,650,6,370,30.1,31250,188,72,0,33,0,24,15,0,0,90,93,0,60,0,0,21,12,0,29.53%,260,226,568,138,80.45%,19.55%,"$86,000.00 ",1948,13.08%
2.01E+15,2010,10,3,2.20E+11,1177,26,1140,0,0,6,0,1172,5,726,36,26774,79,188,30,57,72,29,0,0,0,124,295,51,118,0,89,37,0,0,50.99%,566,450,532,1292,29.17%,70.83%,"$77,400.00 ",1963,20.49%
2.01E+15,2010,10,4,2.20E+11,568,1,558,0,3,1,0,563,5,398,42.4,45000,77,88,29,0,32,15,0,12,0,26,91,0,22,0,9,60,0,0,49.61%,172,172,389,13,96.77%,3.23%,"$84,500.00 ",1961,0%
2.01E+15,2010,10,5,2.20E+11,1047,12,1017,0,0,10,0,1039,8,691,38.8,20362,200,112,33,62,17,0,0,0,0,83,101,9,65,27,0,0,0,0,27.92%,496,401,450,562,44.47%,55.53%,"$56,800.00 ",1951,19.15%
2.01E+15,2010,10,1,2.20E+11,810,1,799,0,3,1,0,804,6,506,36.1,31806,32,55,24,0,0,8,23,0,0,69,89,0,66,0,11,8,4,0,32.36%,277,255,300,481,38.41%,61.59%,"$45,300.00 ",1968,7.94%
2.01E+15,2010,10,2,2.20E+11,669,2,659,0,2,0,0,663,6,441,36.8,25521,115,23,0,0,0,15,8,0,0,92,48,0,17,0,22,9,0,0,16.21%,242,242,406,283,58.93%,41.07%,"$49,700.00 ",1952,0%
2.01E+15,2010,10,3,2.20E+11,479,2,473,0,0,1,0,476,3,340,38.9,14953,103,42,20,22,0,0,0,0,0,81,69,0,37,12,20,0,0,0,25.86%,281,234,266,369,41.89%,58.11%,"$31,900.00 ",1953,16.73%
2.01E+15,2010,10,4,2.20E+11,496,2,485,2,0,0,0,489,7,310,34.2,21813,57,67,0,67,0,0,0,0,0,67,45,5,34,0,6,0,0,0,32.19%,242,199,307,132,69.93%,30.07%,"$60,600.00 ",1962,17.77%
2.01E+15,2010,10,5,2.20E+11,1073,8,1049,1,0,2,1,1061,12,694,34,24609,162,119,24,47,0,18,30,0,0,179,104,41,8,0,55,0,0,0,29.75%,563,501,448,740,37.71%,62.29%,"$34,800.00 ",1961,11.01%
2.01E+15,2010,20,1,2.20E+11,1404,12,1378,2,1,0,0,1393,11,641,23.7,17982,93,68,0,42,26,0,0,0,0,139,158,34,65,19,30,10,0,0,35.03%,714,622,19,1177,1.59%,98.41%,,1975,12.89%
2.01E+15,2010,20,2,2.20E+11,1984,717,1113,108,16,4,0,1958,26,1530,49.6,32888,205,281,18,116,22,73,28,0,24,179,569,36,191,30,168,123,21,0,53.36%,1061,929,688,1191,36.62%,63.38%,"$154,400.00 ",1972,12.44%
2.01E+15,2010,20,1,2.20E+11,1036,23,1010,0,1,0,0,1034,2,616,32.5,21757,151,73,7,66,0,0,0,0,0,99,169,39,83,22,25,0,0,0,36.17%,412,390,614,406,60.20%,39.80%,"$79,300.00 ",1955,5.34%
2.01E+15,2010,20,2,2.20E+11,2245,257,1945,11,8,4,0,2225,20,1149,25.6,28345,77,164,11,52,55,37,9,0,0,259,315,37,152,39,27,30,0,30,43.11%,924,780,855,1136,42.94%,57.06%,"$128,700.00 ",1975,15.58%
2.01E+15,2010,20,1,2.20E+11,1853,35,1794,1,13,2,0,1845,8,969,26,25313,179,159,48,91,0,10,10,0,0,173,249,83,93,27,26,20,0,0,37.88%,843,661,136,1558,8.03%,91.97%,"$59,200.00 ",1979,21.59%
2.01E+15,2010,20,2,2.20E+11,1402,75,1279,0,36,0,0,1390,12,696,24.8,17016,75,56,0,13,19,24,0,0,0,75,144,30,82,0,17,15,0,0,38.41%,566,406,0,1040,0%,100%,,1976,28.27%
2.01E+15,2010,20,3,2.20E+11,1175,98,987,4,53,0,16,1158,17,663,28.1,15389,19,69,14,36,0,10,9,0,0,194,101,0,93,0,8,0,0,0,42.97%,754,563,0,1252,0%,100%,,1976,25.33%
2.01E+15,2010,20,1,2.20E+11,891,48,828,2,4,0,0,882,9,547,33.3,21057,83,79,55,13,11,0,0,0,0,86,124,11,84,0,8,21,0,0,37.90%,359,287,322,299,51.85%,48.15%,"$57,900.00 ",1953,20.06%
2.01E+15,2010,20,2,2.20E+11,1017,355,627,5,9,3,2,1001,16,697,34.7,41349,55,260,7,49,19,141,30,6,8,136,241,24,51,8,91,52,6,9,64.67%,577,577,538,669,44.57%,55.43%,"$163,000.00 ",1948,0%
2.01E+15,2010,20,3,2.20E+11,754,677,52,11,1,1,0,742,12,544,34.9,66607,7,325,0,52,10,185,47,14,17,0,262,0,23,0,113,70,26,30,97.83%,393,393,484,300,61.73%,38.27%,"$308,600.00 ",1944,0%
2.01E+15,2010,20,4,2.20E+11,853,589,215,11,10,8,1,834,19,596,29.7,37917,66,269,10,95,33,79,43,0,9,23,308,26,68,16,153,39,6,0,81.06%,539,495,255,665,27.72%,72.28%,"$96,200.00 ",1949,8.16%
2.01E+15,2010,20,1,2.20E+11,1595,1548,25,8,2,2,0,1585,10,1116,41.2,130234,39,497,19,54,0,207,99,70,48,99,551,42,43,32,174,76,117,67,88.75%,608,575,1599,58,96.50%,3.50%,"$309,200.00 ",1952,5.43%
2.01E+15,2010,20,2,2.20E+11,1560,405,1116,6,8,4,0,1539,21,1200,43.8,17863,169,200,37,46,0,95,11,11,0,159,370,13,124,36,78,95,13,11,44.17%,867,796,471,818,36.54%,63.46%,"$96,800.00 ",1971,8.19%
2.01E+15,2010,20,3,2.20E+11,885,441,424,8,3,2,0,878,7,657,37.6,44595,95,228,0,65,10,120,33,0,0,25,185,3,54,0,120,0,8,0,72.39%,527,336,67,512,11.57%,88.43%,"$228,800.00 ",1970,36.24%
2.01E+15,2010,20,4,2.20E+11,1092,1001,56,18,3,4,0,1082,10,824,33.6,58047,66,260,38,52,0,124,46,0,0,97,290,31,10,31,144,32,34,8,72.50%,608,575,627,463,57.52%,42.48%,"$192,500.00 ",1952,5.43%
2.01E+15,2010,20,1,2.20E+11,895,691,180,10,6,3,0,890,5,690,41.7,44479,45,193,6,31,6,106,38,6,0,64,348,8,55,10,221,40,14,0,77.90%,521,448,704,190,78.75%,21.25%,"$136,500.00 ",1969,14.01%
2.01E+15,2010,20,2,2.20E+11,1660,876,601,37,97,5,0,1616,44,1110,33.9,43226,44,300,29,109,32,84,15,0,31,100,314,22,125,0,72,85,10,0,48.82%,847,772,492,1266,27.99%,72.01%,"$147,200.00 ",1968,8.85%
2.01E+15,2010,20,1,2.20E+11,944,897,27,6,1,3,0,934,10,682,43.9,85233,13,292,24,51,0,79,48,84,6,43,251,17,51,9,120,54,0,0,88.31%,425,380,879,26,97.13%,2.87%,"$252,900.00 ",1954,10.59%
2.01E+15,2010,20,2,2.20E+11,575,559,7,6,0,0,0,572,3,416,46.5,165329,19,205,8,13,0,67,0,106,11,33,230,20,27,0,79,76,20,8,86.61%,276,267,577,15,97.47%,2.53%,"$331,800.00 ",1957,3.26%
2.01E+15,2010,20,3,2.20E+11,1004,775,165,44,1,5,0,990,14,778,34,41625,18,269,15,37,49,130,17,13,8,27,328,0,75,28,148,69,8,0,93.06%,543,475,321,465,40.84%,59.16%,"$201,900.00 ",1964,12.52%
2.01E+15,2010,20,1,2.20E+11,1741,1484,159,79,5,2,5,1734,7,1278,48.1,65326,136,517,38,152,0,207,22,69,29,172,542,68,103,33,213,112,13,0,75.04%,736,736,1660,128,92.84%,7.16%,"$221,900.00 ",1970,0%
2.01E+15,2010,20,2,2.20E+11,1694,1549,68,48,7,3,0,1675,19,1255,43.3,54797,94,450,13,79,21,184,43,81,29,185,551,35,102,9,280,80,29,16,77.83%,821,763,1587,225,87.58%,12.42%,"$219,800.00 ",1974,7.06%
2.01E+15,2010,30,1,2.20E+11,733,178,532,0,6,5,0,721,12,459,31.4,25208,95,42,0,9,20,13,0,0,0,56,137,5,69,19,33,11,0,0,44.73%,411,285,234,382,37.99%,62.01%,"$82,600.00 ",1956,30.66%
2.01E+15,2010,30,2,2.20E+11,713,23,684,2,2,0,0,711,2,438,33.4,24153,95,33,0,6,12,0,0,0,15,91,39,0,10,0,20,9,0,0,20.56%,362,271,213,319,40.04%,59.96%,"$55,000.00 ",1953,25.14%
2.01E+15,2010,30,1,2.20E+11,763,706,41,2,3,0,0,752,11,550,38.8,100938,21,273,22,73,9,39,61,0,69,7,291,8,109,0,89,64,21,0,89.05%,383,340,682,58,92.16%,7.84%,"$198,200.00 ",1949,11.23%
2.01E+15,2010,30,2,2.20E+11,740,705,21,9,3,0,0,738,2,520,37.2,115306,0,420,0,36,25,181,65,27,86,18,328,10,51,0,112,49,67,39,97.40%,523,466,977,208,82.45%,17.55%,"$285,000.00 ",1946,10.90%
2.01E+15,2010,30,3,2.20E+11,1273,1205,30,3,19,2,0,1259,14,925,36.8,80417,18,472,9,96,0,244,67,26,30,39,259,5,53,14,69,67,35,16,90.21%,499,499,558,397,58.43%,41.57%,"$266,600.00 ",1951,0%
2.01E+15,2010,30,1,2.20E+11,1470,488,764,84,72,9,0,1417,53,843,27.7,21118,29,138,19,1,65,25,15,5,8,51,152,48,31,22,16,35,0,0,55.21%,838,560,219,1159,15.89%,84.11%,"$175,000.00 ",1973,33.17%
2.01E+15,2010,30,2,2.20E+11,1212,141,1022,21,17,1,0,1202,10,818,36.4,15586,101,254,12,166,0,22,42,12,0,164,121,0,62,0,40,19,0,0,43.14%,607,530,482,598,44.63%,55.37%,"$214,000.00 ",1965,12.69%
2.01E+15,2010,30,1,2.20E+11,674,13,656,0,1,2,0,672,2,433,37.6,21143,71,110,0,55,40,7,0,0,8,97,124,17,79,0,14,14,0,0,45.23%,330,284,338,460,42.36%,57.64%,"$62,400.00 ",1954,13.94%
2.01E+15,2010,30,2,2.20E+11,638,4,632,0,1,0,0,637,1,381,33.6,19496,10,94,49,39,0,6,0,0,0,145,135,14,90,0,8,23,0,0,41.35%,415,343,317,419,43.07%,56.93%,"$60,800.00 ",1953,17.35%
2.01E+15,2010,30,3,2.20E+11,468,4,447,3,1,7,0,462,6,302,35.7,21563,90,19,0,7,12,0,0,0,0,81,103,55,19,16,0,13,0,0,31.53%,222,184,221,314,41.31%,58.69%,"$75,500.00 ",1964,17.12%
2.01E+15,2010,30,4,2.20E+11,1724,1288,257,106,19,10,0,1680,44,525,22,12500,18,276,0,12,0,161,49,32,22,42,168,8,9,0,77,66,0,8,85.65%,823,646,253,1234,17.01%,82.99%,"$144,300.00 ",1972,21.51%
2.01E+15,2010,30,1,2.20E+11,1539,1371,106,23,15,2,1,1518,21,1099,36.6,54107,52,446,13,118,0,169,48,76,22,41,428,19,71,11,176,87,48,16,87.32%,851,711,892,596,59.95%,40.05%,"$279,100.00 ",1953,16.45%
2.01E+15,2010,30,2,2.20E+11,2283,2138,47,41,9,3,2,2240,43,1494,33.6,62172,38,593,9,37,16,285,122,30,94,24,654,65,83,6,283,125,15,77,94.42%,1015,890,1258,757,62.43%,37.57%,"$299,300.00 ",1957,12.32%
2.01E+15,2010,30,1,2.20E+11,645,616,11,8,3,1,0,639,6,480,40.1,56023,0,191,15,44,0,59,47,14,12,44,209,34,15,34,85,23,0,18,91.30%,343,307,422,163,72.14%,27.86%,"$230,700.00 ",1962,10.50%
2.01E+15,2010,30,2,2.20E+11,1683,1604,19,41,11,1,0,1676,7,1125,45.4,131462,12,584,8,32,42,241,92,123,46,102,506,8,37,43,242,104,72,0,89.66%,677,654,1597,201,88.82%,11.18%,"$363,200.00 ",1971,3.40%
2.01E+15,2010,30,3,2.20E+11,1588,689,803,47,22,1,0,1562,26,999,28.5,53060,84,260,35,63,0,61,71,6,24,124,347,29,31,41,167,47,22,10,72.39%,986,757,259,1142,18.49%,81.51%,"$194,200.00 ",1993,23.23%
2.01E+15,2010,30,1,2.20E+11,805,498,286,5,0,1,4,794,11,539,39.1,75688,62,131,2,27,16,65,11,1,9,77,179,16,31,0,90,20,6,16,61.39%,269,239,617,87,87.64%,12.36%,"$281,600.00 ",1958,11.15%
2.01E+15,2010,30,2,2.20E+11,816,19,780,0,2,3,0,804,12,517,35.4,16101,51,74,35,39,0,0,0,0,0,136,68,12,27,0,5,24,0,0,27.84%,408,359,538,327,62.20%,37.80%,"$79,700.00 ",1958,12.01%
2.01E+15,2010,30,1,2.20E+11,2011,597,257,1049,56,5,2,1966,45,1090,25.6,35169,7,433,0,10,0,159,197,0,67,8,338,0,20,10,130,155,0,23,97.39%,831,617,18,1272,1.40%,98.60%,,1961,25.75%
2.01E+15,2010,30,2,2.20E+11,1460,856,168,360,37,4,2,1427,33,544,22.4,15603,78,218,52,0,17,48,76,16,9,13,130,0,0,10,41,79,0,0,75.61%,748,550,91,1142,7.38%,92.62%,,1981,26.47%
2.01E+15,2010,30,1,2.20E+11,1955,1600,152,137,13,3,1,1906,49,277,19.6,16023,6,129,0,7,0,15,29,44,34,7,64,0,0,12,17,35,0,0,92.85%,356,276,13,382,3.29%,96.71%,,1969,22.47%
2.01E+15,2010,30,2,2.20E+11,2156,1932,133,36,12,1,0,2114,42,274,21,20132,4,74,0,0,7,37,30,0,0,7,60,0,28,11,21,0,0,0,73.98%,377,252,62,641,8.82%,91.18%,"$172,900.00 ",1970,33.16%
2.01E+15,2010,30,1,2.20E+11,780,7,762,2,1,1,0,773,7,369,23.8,24306,24,105,0,67,0,29,9,0,0,97,60,0,38,0,0,0,0,22,39.57%,384,331,95,836,10.20%,89.80%,"$177,800.00 ",1964,13.80%
2.01E+15,2010,30,2,2.20E+11,573,1,563,6,0,3,0,573,0,401,44.1,68889,48,141,31,52,0,50,0,8,0,66,130,0,44,23,21,42,0,0,64.62%,196,196,474,37,92.76%,7.24%,"$106,100.00 ",1973,0%
2.01E+15,2010,30,3,2.20E+11,2125,31,2054,2,6,5,0,2098,27,342,20.3,24138,42,20,6,8,0,6,0,0,0,73,122,0,86,0,26,10,0,0,41.52%,144,118,262,103,71.78%,28.22%,"$77,900.00 ",1970,18.06%
2.01E+15,2010,30,4,2.20E+11,1280,5,1251,0,0,0,0,1256,24,666,26.1,14142,66,65,16,12,10,0,27,0,0,187,150,28,52,33,31,6,0,0,27.90%,579,526,505,1037,32.75%,67.25%,"$68,500.00 ",1966,9.15%
2.01E+15,2010,40,1,2.20E+11,1010,4,1001,0,0,2,0,1007,3,430,20.4,18924,62,97,36,23,0,38,0,0,0,147,76,8,57,0,11,0,0,0,29.76%,443,367,184,1093,14.41%,85.59%,"$89,400.00 ",1970,17.16%
2.01E+15,2010,40,2,2.20E+11,551,0,547,0,0,0,0,547,4,419,54.4,39375,23,137,0,60,18,29,11,11,8,54,144,0,26,0,19,86,13,0,72.42%,237,194,417,17,96.08%,3.92%,"$108,000.00 ",1965,18.14%
2.01E+15,2010,40,3,2.20E+11,795,1,784,0,0,2,0,787,8,441,29.1,15000,169,47,0,47,0,0,0,0,0,134,147,36,57,30,16,8,0,0,26.97%,372,372,382,606,38.66%,61.34%,"$79,500.00 ",1963,0%
2.01E+15,2010,40,4,2.20E+11,730,3,719,0,0,1,0,723,7,443,31.4,23355,66,18,0,10,0,8,0,0,0,61,196,32,127,8,21,8,0,0,34.74%,334,241,235,403,36.83%,63.17%,"$92,400.00 ",1960,27.84%
2.01E+15,2010,40,5,2.20E+11,1023,4,1015,0,0,0,0,1019,4,682,39.8,23828,79,84,0,14,0,70,0,0,0,89,185,24,71,13,56,21,0,0,43.57%,437,368,504,644,43.90%,56.10%,"$69,600.00 ",1965,15.79%
2.01E+15,2010,40,1,2.20E+11,3278,461,2787,9,9,0,0,3266,12,2103,29.5,21964,176,129,17,66,7,39,0,0,0,171,160,13,89,10,44,4,0,0,28.33%,424,359,555,672,45.23%,54.77%,"$80,400.00 ",1965,15.33%
2.01E+15,2010,40,1,2.20E+11,848,357,464,10,6,0,0,837,11,555,37.8,61920,115,104,5,52,0,37,10,0,0,117,148,17,28,21,51,31,0,0,47.93%,309,309,668,151,81.56%,18.44%,"$124,500.00 ",1961,0%
2.01E+15,2010,40,2,2.20E+11,1811,348,1420,3,13,10,0,1794,17,1167,36.7,47045,107,357,62,81,28,118,26,32,10,171,349,40,91,9,167,42,0,0,60.63%,771,692,1390,422,76.71%,23.29%,"$144,200.00 ",1977,10.25%
2.01E+15,2010,40,3,2.20E+11,1183,220,939,9,1,3,0,1172,11,686,30.8,40172,35,223,10,189,10,14,0,0,0,59,220,57,77,17,50,19,0,0,72.15%,415,366,815,340,70.56%,29.44%,"$112,300.00 ",1975,11.81%
2.01E+15,2010,40,1,2.20E+11,1109,461,629,2,0,6,0,1098,11,737,38.8,44858,95,164,50,93,21,0,0,0,0,224,133,79,41,0,13,0,0,0,45.67%,412,402,622,215,74.31%,25.69%,"$107,200.00 ",1977,2.43%
2.01E+15,2010,40,2,2.20E+11,1724,598,1078,19,9,5,0,1709,15,1182,41.6,83750,195,319,8,160,56,51,27,0,17,228,392,15,67,57,137,79,15,22,59.31%,626,611,1617,0,100%,0%,"$155,500.00 ",1977,2.40%
2.01E+15,2010,40,3,2.20E+11,1084,240,808,11,1,0,0,1060,24,697,39.5,53083,50,232,17,123,0,73,19,0,0,126,298,35,89,21,95,58,0,0,68.45%,491,447,926,308,75.04%,24.96%,"$130,000.00 ",1983,8.96%
2.01E+15,2010,40,1,2.20E+11,738,6,722,0,4,0,0,732,6,516,45,31536,79,108,10,76,0,0,22,0,0,100,211,0,99,0,22,79,0,11,54.51%,358,337,615,389,61.25%,38.75%,"$98,400.00 ",1967,5.87%
2.01E+15,2010,40,2,2.20E+11,909,3,893,1,0,2,0,899,10,618,41.5,35268,142,106,28,22,0,25,20,0,11,68,275,0,102,112,29,32,0,0,54.71%,494,389,670,222,75.11%,24.89%,"$75,000.00 ",1963,21.26%
2.01E+15,2010,40,3,2.20E+11,1042,0,1022,2,0,1,0,1025,17,480,23.8,21964,71,78,0,37,0,41,0,0,0,34,139,14,90,0,8,27,0,0,51.95%,478,374,337,612,35.51%,64.49%,"$80,700.00 ",1994,21.76%
2.01E+15,2010,40,4,2.20E+11,1305,4,1282,3,2,0,0,1291,14,729,29.4,24476,126,99,0,82,0,17,0,0,0,97,178,46,100,14,11,7,0,0,43.65%,414,347,794,316,71.53%,28.47%,"$70,500.00 ",1970,16.18%
2.01E+15,2010,40,5,2.20E+11,1167,12,1150,0,0,3,0,1165,2,626,28.7,30469,178,42,0,18,0,24,0,0,0,171,169,21,148,0,0,0,0,0,25.54%,439,351,830,510,61.94%,38.06%,"$79,000.00 ",1979,20.05%
2.01E+15,2010,40,1,2.20E+11,1475,157,1273,5,17,7,0,1459,16,876,32.1,41705,136,281,14,60,60,73,74,0,0,124,413,147,76,28,123,39,0,0,64.41%,561,536,964,658,59.43%,40.57%,"$105,800.00 ",1975,4.46%
2.01E+15,2010,40,2,2.20E+11,1629,49,1557,4,2,0,0,1612,17,979,31.7,32109,111,201,30,48,42,57,10,14,0,116,177,0,47,0,86,44,0,0,47.98%,490,401,892,356,71.47%,28.53%,"$88,600.00 ",1967,18.16%
2.01E+15,2010,40,3,2.20E+11,1365,21,1332,0,2,0,0,1355,10,790,30.5,16711,104,29,0,16,0,0,13,0,0,92,242,56,153,0,0,33,0,0,35.48%,583,448,950,291,76.55%,23.45%,"$94,100.00 ",1967,23.16%
2.01E+15,2010,40,4,2.20E+11,851,19,821,0,1,2,0,843,8,511,31.8,36369,132,59,0,25,0,34,0,0,0,96,31,18,0,0,0,13,0,0,17.77%,267,233,626,301,67.53%,32.47%,"$69,200.00 ",1965,12.73%
2.01E+15,2010,40,5,2.20E+11,1311,43,1256,4,0,0,0,1303,8,792,33.5,42321,109,74,37,20,0,17,0,0,0,229,161,11,97,0,53,0,0,0,37.54%,479,384,720,118,85.92%,14.08%,"$104,100.00 ",1966,19.83%
2.01E+15,2010,40,1,2.20E+11,1384,178,1160,1,44,0,0,1383,1,958,43.6,51442,188,262,47,101,33,55,18,0,8,134,395,24,103,16,154,98,0,0,53.41%,639,639,1644,146,91.84%,8.16%,"$132,700.00 ",1978,0%
2.01E+15,2010,40,2,2.20E+11,1676,455,821,46,307,10,0,1639,37,953,28.1,33651,75,78,7,25,8,13,25,0,0,235,88,0,25,0,63,0,0,0,27.10%,498,433,443,890,33.23%,66.77%,"$99,100.00 ",1976,13.05%
2.01E+15,2010,40,1,2.20E+11,1229,22,1187,1,4,3,0,1217,12,754,34.3,51250,56,109,12,26,28,35,8,0,0,111,198,17,130,0,27,24,0,0,52.41%,341,286,831,77,91.52%,8.48%,"$89,100.00 ",1966,16.13%
2.01E+15,2010,40,2,2.20E+11,878,10,864,1,0,3,0,878,0,546,33.5,46563,120,166,38,34,37,21,36,0,0,192,180,26,21,35,51,47,0,0,48.83%,384,384,1009,95,91.39%,8.61%,"$99,800.00 ",1975,0%
2.01E+15,2010,40,3,2.20E+11,2090,34,2026,0,8,1,0,2069,21,1198,30.9,57419,207,361,0,243,17,75,0,0,26,256,554,42,302,32,111,55,12,0,55.25%,840,782,1543,728,67.94%,32.06%,"$96,100.00 ",1977,6.90%
2.01E+15,2010,40,4,2.20E+11,2017,65,1936,2,0,3,0,2006,11,1158,30.3,41138,45,291,10,63,65,142,11,0,0,165,361,10,223,10,85,21,12,0,62.72%,679,651,1248,782,61.48%,38.52%,"$105,800.00 ",1971,4.12%
2.01E+15,2010,40,1,2.20E+11,664,83,571,5,1,0,0,660,4,422,35.1,73669,62,134,39,40,0,55,0,0,0,91,160,17,23,22,59,39,0,0,55.57%,302,279,783,115,87.19%,12.81%,"$125,500.00 ",1966,7.62%
2.01E+15,2010,40,2,2.20E+11,1420,35,1368,3,0,1,0,1407,13,784,28.8,26607,90,98,17,60,0,10,11,0,0,115,274,17,138,45,40,34,0,0,49.79%,489,423,629,634,49.80%,50.20%,"$99,900.00 ",1964,13.50%
2.01E+15,2010,40,3,2.20E+11,966,167,758,0,36,2,0,963,3,617,36.9,44107,91,125,21,42,0,53,0,0,9,35,182,39,40,19,30,39,15,0,55.15%,326,309,654,236,73.48%,26.52%,"$105,000.00 ",1969,5.21%
2.01E+15,2010,40,4,2.20E+11,1126,218,810,8,78,0,0,1114,12,660,29.4,36830,95,84,18,42,18,6,0,0,0,84,115,0,35,38,9,33,0,0,38.53%,504,419,416,562,42.54%,57.46%,"$102,600.00 ",1971,16.87%
2.01E+15,2010,40,1,2.20E+11,1574,219,1181,68,72,0,2,1542,32,1010,39.1,61667,145,239,10,114,29,72,14,0,0,55,225,0,75,41,84,25,0,0,63.76%,436,436,1174,122,90.59%,9.41%,"$152,100.00 ",1975,0%
2.01E+15,2010,40,2,2.20E+11,935,221,670,12,24,1,0,928,7,624,40.8,44839,71,82,0,40,0,42,0,0,0,130,98,0,22,0,40,36,0,0,43.93%,258,258,612,0,100%,0%,"$144,000.00 ",1976,0%
2.01E+15,2010,40,3,2.20E+11,1062,177,855,19,2,1,1,1055,7,697,39.1,55938,249,216,13,74,90,0,0,0,39,128,351,0,237,58,20,36,0,0,57.73%,389,389,1177,645,64.60%,35.40%,"$140,000.00 ",1975,0%
2.01E+15,2010,40,4,2.20E+11,2367,351,1900,53,30,7,0,2341,26,1468,31.5,39063,385,202,18,28,93,34,15,14,0,268,781,30,423,89,226,13,0,0,48.52%,1186,1078,1188,1640,42.01%,57.99%,"$134,800.00 ",1975,9.11%
2.01E+15,2010,40,5,2.20E+11,919,162,720,27,1,1,0,911,8,605,41.2,67011,269,325,101,78,12,48,24,62,0,86,352,0,166,12,148,26,0,0,65.89%,525,525,1308,31,97.68%,2.32%,"$154,700.00 ",1973,0%
2.01E+15,2010,40,1,2.20E+11,2089,146,1897,18,5,3,0,2069,20,1315,34.6,71216,241,372,44,196,34,98,0,0,0,150,532,63,148,71,215,35,0,0,68.52%,728,728,2088,0,100%,0%,"$148,200.00 ",1985,0%
2.01E+15,2010,40,2,2.20E+11,1581,459,1070,22,11,6,0,1568,13,919,31.3,50167,187,223,41,56,21,46,47,12,0,181,344,15,159,21,105,44,0,0,54.05%,624,612,1169,430,73.11%,26.89%,"$102,500.00 ",1975,1.92%
2.01E+15,2010,40,3,2.20E+11,1644,133,1475,10,12,3,0,1633,11,1062,38.5,65486,154,407,26,135,54,164,28,0,0,99,493,26,124,88,147,95,13,0,70.87%,627,627,1870,22,98.84%,1.16%,"$146,300.00 ",1975,0%
2.01E+15,2010,40,1,2.20E+11,934,277,583,17,32,4,0,913,21,611,33.8,28214,91,127,64,43,0,8,12,0,0,173,149,9,62,41,16,21,0,0,46.70%,512,446,471,397,54.26%,45.74%,"$137,200.00 ",1971,12.89%
2.01E+15,2010,40,2,2.20E+11,1532,368,939,203,9,2,0,1521,11,1006,39.5,56944,160,377,53,119,9,165,6,25,0,178,307,55,61,26,115,44,6,0,56.96%,560,560,1737,55,96.93%,3.07%,"$156,500.00 ",1973,0%
